dataset,horizon,model_combination,split,model_type,metric,value
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_Follower,mape,50428892.000000
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_Follower,wape,34.044777
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_Follower,mae,2.226306
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_Follower,mse,8.194745
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_Follower,mape,15082094.000000
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_Follower,wape,27.496777
ETT-small_ETTh1,24,DLinear-PatchTST,train,Teacher,mae,1.757114
ETT-small_ETTh1,24,DLinear-PatchTST,train,Teacher,mse,5.847136
ETT-small_ETTh1,24,DLinear-PatchTST,train,Teacher,mape,2098695.750000
ETT-small_ETTh1,24,DLinear-PatchTST,train,Teacher,wape,10.448176
ETT-small_ETTh1,24,DLinear-PatchTST,val,Teacher,mae,1.130655
ETT-small_ETTh1,24,DLinear-PatchTST,val,Teacher,mse,2.291830
ETT-small_ETTh1,24,DLinear-PatchTST,val,Teacher,mape,19918646.000000
ETT-small_ETTh1,24,DLinear-PatchTST,val,Teacher,wape,20.272688
ETT-small_ETTh1,24,DLinear-PatchTST,test,Teacher,mae,1.286085
ETT-small_ETTh1,24,DLinear-PatchTST,test,Teacher,mse,3.066453
ETT-small_ETTh1,24,DLinear-PatchTST,test,Teacher,mape,10073786.000000
ETT-small_ETTh1,24,DLinear-PatchTST,test,Teacher,wape,16.083729
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_TaskOnly,mae,1.740200
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_TaskOnly,mse,5.715097
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_TaskOnly,mape,1885583.250000
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_TaskOnly,wape,10.347606
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_TaskOnly,mae,1.123773
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_TaskOnly,mse,2.230262
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_TaskOnly,mape,19113460.000000
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_TaskOnly,wape,20.149284
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_TaskOnly,mae,1.294990
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_TaskOnly,mse,3.092506
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_TaskOnly,mape,8974061.000000
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_TaskOnly,wape,16.195089
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_RDT,mae,1.748398
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_RDT,mse,5.819603
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_RDT,mape,1949653.625000
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_RDT,wape,10.396352
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_RDT,mae,1.115989
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_RDT,mse,2.198184
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_RDT,mape,18203118.000000
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_RDT,wape,20.009720
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_RDT,mae,1.286327
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_RDT,mse,3.043952
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_RDT,mape,9370610.000000
ETT-small_ETTh1,24,DLinear-PatchTST,test,Student_RDT,wape,16.086746
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_Follower,mae,1.757465
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_Follower,mse,5.867618
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_Follower,mape,2033788.250000
ETT-small_ETTh1,24,DLinear-PatchTST,train,Student_Follower,wape,10.450269
ETT-small_ETTh1,24,DLinear-PatchTST,val,Student_Follower,mae,1.117362
